Id,Salary,Gender,Age,City,Education,YearsOfExperience,Remote,Department,Position
571376,186240.0,male,18,Moscow,School,0,Yes,Finance,Senior Accountant
439264,87720.0,male,43,Moscow,School,6,Yes,Finance,Accountant
346128,141600.0,male,47,Moscow,Magistracy,3,No,Marketing,Digital Marketing Specialist
161907,195840.0,female,41,Moscow,Bachelor,6,No,Marketing,Marketing Manager
379855,150480.0,female,27,Moscow,Specialist,4,No,IT,Junior Software Engineer
383303,264000.0,female,39,Moscow,Specialist,15,No,IT,Senior Software Engineer
801905,73600.00000000001,male,18,Krasnoyarsk,School,0,No,Marketing,Digital Marketing Specialist
544833,69440.0,female,48,Nizhniy Novgorod,Collage,25,No,Operations,Operations Coordinator
774118,143520.0,female,18,Moscow,School,0,No,Operations,Process Analyst
384287,246840.0,female,59,Moscow,Magistracy,12,No,Operations,Operations Manager
435163,124800.0,male,46,Moscow,School,14,No,Marketing,Digital Marketing Specialist
842976,122400.0,female,26,Moscow,Collage,3,No,HR,HR Specialist
850706,132080.0,male,47,Ekaterinburg,Magistracy,8,Yes,Operations,Process Analyst
656126,74880.0,female,26,Moscow,Collage,2,No,HR,HR Assistant
501152,62560.00000000001,female,33,Novosibirsk,Collage,7,No,Finance,Accountant
665291,188160.0,male,44,Moscow,Bachelor,4,No,IT,Middle Software Engineer
249363,57720.00000000001,male,35,Novosibirsk,Collage,12,No,Marketing,Marketing Assistant
773179,131453.9182282794,male,63,Saint-Petersburg,School,19,No,Operations,Process Analyst
758086,184902.21465076657,female,38,Saint-Petersburg,Bachelor,15,No,Marketing,Marketing Manager
141983,92499.25894378193,female,38,Saint-Petersburg,School,20,No,Finance,Accountant
912489,56680.00000000001,male,43,Ufa,Bachelor,5,Yes,Marketing,Marketing Assistant
833637,224640.0,female,41,Moscow,Collage,17,No,IT,Middle Software Engineer
173757,187983.9182282794,female,44,Saint-Petersburg,Collage,22,No,IT,Middle Software Engineer
838741,168960.0,male,37,Moscow,Magistracy,9,Yes,IT,Junior Software Engineer
377823,199680.0,male,30,Moscow,Collage,0,Yes,Marketing,Marketing Manager
858470,69360.0,female,40,Kazan,Collage,13,Yes,Finance,Accountant
754726,88740.0,male,20,Moscow,School,2,No,Finance,Accountant
691339,57781.94207836456,female,19,Saint-Petersburg,School,0,Yes,HR,HR Assistant
365177,190080.0,female,51,Moscow,Collage,0,No,Marketing,Marketing Manager
